{'nodes': 2560, 'beta-norm': 10, 'epochs': 50, 'train-mse': 4.875015735626221, 'train-mse-bal': 0.9335981011390686, 'majority-mse': 4.544776439666748, 'minority-mse': 6.907864093780518, 'trainable': 'last-layer'}
{'nodes': 2560, 'beta-norm': 10, 'epochs': 5000, 'train-mse': 0.9761077761650085, 'train-mse-bal': 0.12652792036533356, 'majority-mse': 2.212461471557617, 'minority-mse': 15.315667152404785, 'trainable': 'last-layer'}
{'nodes': 10240, 'beta-norm': 10, 'epochs': 50, 'train-mse': 4.213894844055176, 'train-mse-bal': 0.8044089674949646, 'majority-mse': 3.7930970191955566, 'minority-mse': 6.661924362182617, 'trainable': 'last-layer'}
{'nodes': 10240, 'beta-norm': 10, 'epochs': 5000, 'train-mse': 0.12268900871276855, 'train-mse-bal': 0.021883338689804077, 'majority-mse': 1.2081679105758667, 'minority-mse': 17.47804069519043, 'trainable': 'last-layer'}
{'nodes': 10, 'beta-norm': 10, 'epochs': 50, 'train-mse': 417.035888671875, 'train-mse-bal': 74.88797760009766, 'majority-mse': 426.2275695800781, 'minority-mse': 430.98193359375, 'trainable': 'last-layer'}
{'nodes': 10, 'beta-norm': 10, 'epochs': 5000, 'train-mse': 258.9081115722656, 'train-mse-bal': 47.98020935058594, 'majority-mse': 266.6135559082031, 'minority-mse': 308.36688232421875, 'trainable': 'last-layer'}
{'nodes': 40, 'beta-norm': 10, 'epochs': 50, 'train-mse': 279.70703125, 'train-mse-bal': 51.15400314331055, 'majority-mse': 285.54241943359375, 'minority-mse': 282.9400634765625, 'trainable': 'last-layer'}
{'nodes': 40, 'beta-norm': 10, 'epochs': 5000, 'train-mse': 33.64491271972656, 'train-mse-bal': 5.608168125152588, 'majority-mse': 35.05313491821289, 'minority-mse': 36.70712661743164, 'trainable': 'last-layer'}
{'nodes': 160, 'beta-norm': 10, 'epochs': 50, 'train-mse': 126.4384536743164, 'train-mse-bal': 22.206058502197266, 'majority-mse': 130.96986389160156, 'minority-mse': 123.4743881225586, 'trainable': 'last-layer'}
{'nodes': 160, 'beta-norm': 10, 'epochs': 5000, 'train-mse': 5.83012056350708, 'train-mse-bal': 0.9625414609909058, 'majority-mse': 6.485569477081299, 'minority-mse': 8.210162162780762, 'trainable': 'last-layer'}
