{'nodes': 10, 'beta-norm': 0.1, 'epochs': 5000, 'train-mse': 5.387537479400635, 'train-mse-bal': 0.957345187664032, 'majority-mse': 5.086662292480469, 'minority-mse': 4.5323357582092285, 'trainable': 'last-layer', 'setup': 'same-core-over-envs'}
{'nodes': 40, 'beta-norm': 0.1, 'epochs': 50, 'train-mse': 5.595757961273193, 'train-mse-bal': 0.9426643252372742, 'majority-mse': 5.400886535644531, 'minority-mse': 4.219140529632568, 'trainable': 'last-layer', 'setup': 'same-core-over-envs'}
{'nodes': 40, 'beta-norm': 0.1, 'epochs': 5000, 'train-mse': 5.241379261016846, 'train-mse-bal': 0.8937013149261475, 'majority-mse': 5.174223899841309, 'minority-mse': 5.1940531730651855, 'trainable': 'last-layer', 'setup': 'same-core-over-envs'}
{'nodes': 160, 'beta-norm': 0.1, 'epochs': 50, 'train-mse': 5.332150459289551, 'train-mse-bal': 0.8960499167442322, 'majority-mse': 5.12185001373291, 'minority-mse': 4.597157001495361, 'trainable': 'last-layer', 'setup': 'same-core-over-envs'}
{'nodes': 160, 'beta-norm': 0.1, 'epochs': 5000, 'train-mse': 4.369016647338867, 'train-mse-bal': 0.7145368456840515, 'majority-mse': 4.639791965484619, 'minority-mse': 7.2941694259643555, 'trainable': 'last-layer', 'setup': 'same-core-over-envs'}
{'nodes': 640, 'beta-norm': 0.1, 'epochs': 50, 'train-mse': 5.168887615203857, 'train-mse-bal': 0.8630779981613159, 'majority-mse': 5.07591438293457, 'minority-mse': 4.854727745056152, 'trainable': 'last-layer', 'setup': 'same-core-over-envs'}
{'nodes': 640, 'beta-norm': 0.1, 'epochs': 5000, 'train-mse': 2.625096082687378, 'train-mse-bal': 0.3876798748970032, 'majority-mse': 3.3876261711120605, 'minority-mse': 11.198735237121582, 'trainable': 'last-layer', 'setup': 'same-core-over-envs'}
{'nodes': 2560, 'beta-norm': 0.1, 'epochs': 50, 'train-mse': 4.919287204742432, 'train-mse-bal': 0.8263072967529297, 'majority-mse': 4.918088912963867, 'minority-mse': 5.438737869262695, 'trainable': 'last-layer', 'setup': 'same-core-over-envs'}
{'nodes': 2560, 'beta-norm': 0.1, 'epochs': 5000, 'train-mse': 1.025996446609497, 'train-mse-bal': 0.12977918982505798, 'majority-mse': 2.4510574340820312, 'minority-mse': 14.152545928955078, 'trainable': 'last-layer', 'setup': 'same-core-over-envs'}
{'nodes': 10240, 'beta-norm': 0.1, 'epochs': 50, 'train-mse': 4.813656806945801, 'train-mse-bal': 0.7920010685920715, 'majority-mse': 4.902400016784668, 'minority-mse': 5.782934665679932, 'trainable': 'last-layer', 'setup': 'same-core-over-envs'}
{'nodes': 10240, 'beta-norm': 0.1, 'epochs': 5000, 'train-mse': 0.15302981436252594, 'train-mse-bal': 0.02486763708293438, 'majority-mse': 1.4575546979904175, 'minority-mse': 15.408052444458008, 'trainable': 'last-layer', 'setup': 'same-core-over-envs'}
{'nodes': 10, 'beta-norm': 0.1, 'epochs': 50, 'train-mse': 4.640762805938721, 'train-mse-bal': 0.8459314703941345, 'majority-mse': 4.479189872741699, 'minority-mse': 5.899820804595947, 'trainable': 'last-layer', 'setup': 'same-core-over-envs'}
{'nodes': 10, 'beta-norm': 0.1, 'epochs': 5000, 'train-mse': 4.950843811035156, 'train-mse-bal': 0.8222436904907227, 'majority-mse': 4.930148601531982, 'minority-mse': 5.461665630340576, 'trainable': 'last-layer', 'setup': 'same-core-over-envs'}
{'nodes': 40, 'beta-norm': 0.1, 'epochs': 50, 'train-mse': 4.60590934753418, 'train-mse-bal': 0.7982692718505859, 'majority-mse': 4.472010135650635, 'minority-mse': 6.048331260681152, 'trainable': 'last-layer', 'setup': 'same-core-over-envs'}
{'nodes': 40, 'beta-norm': 0.1, 'epochs': 5000, 'train-mse': 4.224242210388184, 'train-mse-bal': 0.7622820138931274, 'majority-mse': 4.150896072387695, 'minority-mse': 7.466058731079102, 'trainable': 'last-layer', 'setup': 'same-core-over-envs'}
{'nodes': 160, 'beta-norm': 0.1, 'epochs': 50, 'train-mse': 4.295361042022705, 'train-mse-bal': 0.7674605250358582, 'majority-mse': 4.183201789855957, 'minority-mse': 6.577840328216553, 'trainable': 'last-layer', 'setup': 'same-core-over-envs'}
{'nodes': 160, 'beta-norm': 0.1, 'epochs': 5000, 'train-mse': 3.535783529281616, 'train-mse-bal': 0.5901560187339783, 'majority-mse': 3.8692965507507324, 'minority-mse': 9.927017211914062, 'trainable': 'last-layer', 'setup': 'same-core-over-envs'}
{'nodes': 640, 'beta-norm': 0.1, 'epochs': 50, 'train-mse': 4.148809432983398, 'train-mse-bal': 0.7307009696960449, 'majority-mse': 4.118887424468994, 'minority-mse': 6.971096515655518, 'trainable': 'last-layer', 'setup': 'same-core-over-envs'}
{'nodes': 640, 'beta-norm': 0.1, 'epochs': 5000, 'train-mse': 2.436492681503296, 'train-mse-bal': 0.3563789129257202, 'majority-mse': 3.5659902095794678, 'minority-mse': 13.167587280273438, 'trainable': 'last-layer', 'setup': 'same-core-over-envs'}
{'nodes': 2560, 'beta-norm': 0.1, 'epochs': 50, 'train-mse': 4.0145158767700195, 'train-mse-bal': 0.7069705128669739, 'majority-mse': 4.020278453826904, 'minority-mse': 7.667610168457031, 'trainable': 'last-layer', 'setup': 'same-core-over-envs'}
{'nodes': 2560, 'beta-norm': 0.1, 'epochs': 5000, 'train-mse': 1.0656545162200928, 'train-mse-bal': 0.13757677376270294, 'majority-mse': 2.5748302936553955, 'minority-mse': 16.73754119873047, 'trainable': 'last-layer', 'setup': 'same-core-over-envs'}
{'nodes': 10240, 'beta-norm': 0.1, 'epochs': 50, 'train-mse': 4.137319564819336, 'train-mse-bal': 0.6806023716926575, 'majority-mse': 4.241014003753662, 'minority-mse': 7.698458194732666, 'trainable': 'last-layer', 'setup': 'same-core-over-envs'}
{'nodes': 10240, 'beta-norm': 0.1, 'epochs': 5000, 'train-mse': 0.15306682884693146, 'train-mse-bal': 0.02447565086185932, 'majority-mse': 1.6367597579956055, 'minority-mse': 17.956302642822266, 'trainable': 'last-layer', 'setup': 'same-core-over-envs'}
{'nodes': 10, 'beta-norm': 0.1, 'epochs': 50, 'train-mse': 4.743359088897705, 'train-mse-bal': 0.855606198310852, 'majority-mse': 4.8823018074035645, 'minority-mse': 5.525371551513672, 'trainable': 'last-layer', 'setup': 'same-core-over-envs'}
{'nodes': 10, 'beta-norm': 0.1, 'epochs': 5000, 'train-mse': 4.75230073928833, 'train-mse-bal': 0.8480027318000793, 'majority-mse': 4.875391483306885, 'minority-mse': 5.524020671844482, 'trainable': 'last-layer', 'setup': 'same-core-over-envs'}
{'nodes': 40, 'beta-norm': 0.1, 'epochs': 50, 'train-mse': 4.405702590942383, 'train-mse-bal': 0.8276867866516113, 'majority-mse': 4.512941360473633, 'minority-mse': 5.9219441413879395, 'trainable': 'last-layer', 'setup': 'same-core-over-envs'}
{'nodes': 40, 'beta-norm': 0.1, 'epochs': 5000, 'train-mse': 4.377603530883789, 'train-mse-bal': 0.8106983304023743, 'majority-mse': 4.611571311950684, 'minority-mse': 6.106551647186279, 'trainable': 'last-layer', 'setup': 'same-core-over-envs'}
{'nodes': 160, 'beta-norm': 0.1, 'epochs': 50, 'train-mse': 4.369011878967285, 'train-mse-bal': 0.8008137941360474, 'majority-mse': 4.598931312561035, 'minority-mse': 5.941226005554199, 'trainable': 'last-layer', 'setup': 'same-core-over-envs'}
{'nodes': 160, 'beta-norm': 0.1, 'epochs': 5000, 'train-mse': 3.9057059288024902, 'train-mse-bal': 0.6903998851776123, 'majority-mse': 4.282669544219971, 'minority-mse': 7.885841369628906, 'trainable': 'last-layer', 'setup': 'same-core-over-envs'}
{'nodes': 640, 'beta-norm': 0.1, 'epochs': 50, 'train-mse': 4.353142261505127, 'train-mse-bal': 0.7765087485313416, 'majority-mse': 4.61148738861084, 'minority-mse': 6.108882427215576, 'trainable': 'last-layer', 'setup': 'same-core-over-envs'}
{'nodes': 640, 'beta-norm': 0.1, 'epochs': 5000, 'train-mse': 2.372164249420166, 'train-mse-bal': 0.37790849804878235, 'majority-mse': 3.3691999912261963, 'minority-mse': 11.153742790222168, 'trainable': 'last-layer', 'setup': 'same-core-over-envs'}
{'nodes': 2560, 'beta-norm': 0.1, 'epochs': 50, 'train-mse': 4.170541286468506, 'train-mse-bal': 0.7543242573738098, 'majority-mse': 4.419712543487549, 'minority-mse': 6.539435386657715, 'trainable': 'last-layer', 'setup': 'same-core-over-envs'}
{'nodes': 2560, 'beta-norm': 0.1, 'epochs': 5000, 'train-mse': 0.9732825756072998, 'train-mse-bal': 0.12591014802455902, 'majority-mse': 2.23710560798645, 'minority-mse': 15.891234397888184, 'trainable': 'last-layer', 'setup': 'same-core-over-envs'}
{'nodes': 10240, 'beta-norm': 0.1, 'epochs': 50, 'train-mse': 3.9709768295288086, 'train-mse-bal': 0.7260702252388, 'majority-mse': 4.25074577331543, 'minority-mse': 6.977163314819336, 'trainable': 'last-layer', 'setup': 'same-core-over-envs'}
{'nodes': 10240, 'beta-norm': 0.1, 'epochs': 5000, 'train-mse': 0.12383200973272324, 'train-mse-bal': 0.020671498030424118, 'majority-mse': 1.3173412084579468, 'minority-mse': 17.665313720703125, 'trainable': 'last-layer', 'setup': 'same-core-over-envs'}
{'nodes': 10, 'beta-norm': 0.1, 'epochs': 50, 'train-mse': 0.8606236577033997, 'train-mse-bal': 0.40296289324760437, 'majority-mse': 0.5446290373802185, 'minority-mse': 3.8452999591827393, 'trainable': 'last-layer', 'setup': 'different-core-over-envs'}
{'nodes': 10, 'beta-norm': 0.1, 'epochs': 5000, 'train-mse': 0.9677818417549133, 'train-mse-bal': 0.4193863570690155, 'majority-mse': 0.5754048824310303, 'minority-mse': 3.9967241287231445, 'trainable': 'last-layer', 'setup': 'different-core-over-envs'}
{'nodes': 40, 'beta-norm': 0.1, 'epochs': 50, 'train-mse': 1.2417546510696411, 'train-mse-bal': 0.27041494846343994, 'majority-mse': 1.1089529991149902, 'minority-mse': 1.819174885749817, 'trainable': 'last-layer', 'setup': 'different-core-over-envs'}
{'nodes': 40, 'beta-norm': 0.1, 'epochs': 5000, 'train-mse': 1.2853602170944214, 'train-mse-bal': 0.2535829246044159, 'majority-mse': 1.292481541633606, 'minority-mse': 1.6366822719573975, 'trainable': 'last-layer', 'setup': 'different-core-over-envs'}
